,split,epochs,batch_size,loss,l1,l2,d1,d2,r2,error_ma,error_ms,error_rms,error_mp,error_max
0,0,3000,256,mean_absolute_error,80,80,0.1,0.2,0.989628876,1.63509592,9.433648776,3.071424552,5.491419335,14.38490265
1,1,1000,32,mean_absolute_error,80,40,0.1,0.1,0.994056815,1.667903204,4.16378696,2.040535949,36.23064525,4.853320313
2,2,1000,64,mean_absolute_error,80,40,0.1,0.1,0.994954628,1.255668353,4.285761637,2.070208114,4.941554966,8.749016571
3,3,1000,32,mean_absolute_error,80,40,0.1,0.1,0.993815122,2.169709393,11.22798451,3.350818484,6.794982939,9.51855896
4,4,1000,64,mean_absolute_error,80,40,0.1,0.1,0.995664705,1.601842718,4.213701061,2.052730148,5.569304469,5.587771606
5,5,1000,64,mean_absolute_error,80,40,0.1,0.1,0.991863062,1.621339878,6.317973746,2.513557985,10.62299822,10.97823517
6,6,5000,128,mean_absolute_error,80,40,0.1,0.3,0.993913569,1.899115979,9.989316731,3.160588036,6.095340731,12.90811722
7,7,3000,256,mean_absolute_error,80,80,0.1,0.2,0.978974283,2.669453579,24.99321738,4.999321692,10.31127733,23.62266205
8,8,1000,64,mean_absolute_error,80,40,0.1,0.1,0.99630166,1.574662907,3.82994918,1.957025595,13.01975941,4.536526184
9,9,1000,32,mean_absolute_error,80,40,0.1,0.1,0.992576297,2.188259616,13.0865241,3.61753011,9.175198201,15.65194613
