C,epsilon,r2,error_ma,error_ms,error_rms,error_mp,error_max
4000,0.1,0.997416498,1.024290263,2.349971708,1.532961744,3.694209032,5.175298125
4000,0.15,0.997269831,0.989430244,1.912752704,1.383023031,17.17456641,3.56332341
3000,0.1,0.998739931,0.821544395,1.070358147,1.034581146,3.886260144,2.335475032
6000,0.1,0.996401987,1.879118237,6.531807239,2.555740057,5.777458553,6.98935935
1000,0.1,0.995985,1.555088104,3.902389866,1.975446751,6.695735625,4.994231197
2000,0.1,0.991050164,1.4575021,6.949153602,2.636124732,8.790802709,11.53435012
5000,0.3,0.995885052,1.555502551,6.753631772,2.598775052,4.673199436,10.36229742
3000,0.1,0.995795126,1.626712082,4.998323074,2.235692974,6.847898133,5.249885858
2000,0.1,0.998833365,0.85763383,1.208150704,1.09915909,6.87016371,2.819768467
3000,0.1,0.987593818,1.864839475,21.86965301,4.676500082,5.110121361,22.65385694
